node_id,metric_result
772,"[0.86621538 1.47814654 1.62973276 1.67133558 1.68590441 1.69221149
 1.69537416 1.69713125 1.69818225 1.6988463  1.69928368 1.69958109
 1.69978838 1.6999356  1.70004162 1.70011871 1.70017508 1.70021634
 1.70024643 1.70026816 1.70028357 1.70029417 1.70030106 1.7003051
 1.70030692]"
773,"[0.57055985 1.08867504 1.19164648 1.22595624 1.2432692  1.25374021
 1.26074121 1.26574071 1.26948343 1.27238698 1.27470326 1.27659299
 1.2781634  1.27948871 1.28062189 1.28160172 1.28245723 1.28321059
 1.28387902 1.28447605 1.28501252 1.28549718 1.28593717 1.28633838
 1.28670571]"
774,"[0.44622675 0.40043196 0.37505771 0.35661169 0.34302865 0.33289887
 0.32518952 0.31919079 0.31442343 0.31056152 0.30737967 0.30471883
 0.30246444 0.30053236 0.29885964 0.29739838 0.2961116  0.2949703
 0.29395151 0.29303677 0.2922111  0.29146225 0.29078009 0.29015617
 0.2895834 ]"
775,"[0.67350222 1.23450239 1.35599314 1.3919428  1.40765479 1.41625448
 1.42163149 1.42529634 1.42794873 1.42995477 1.43152384 1.43278405
 1.43381806 1.43468155 1.43541336 1.4360414  1.43658621 1.43706328
 1.43748448 1.43785906 1.43819434 1.43849619 1.43876937 1.43901776
 1.4392446 ]"
776,"[1.3358762  1.28705355 1.24213832 1.24188942 1.24658036 1.2511478
 1.25498241 1.25812588 1.26071017 1.26285629 1.26465949 1.26619205
 1.26750854 1.2686504  1.26964947 1.27053048 1.27131287 1.27201211
 1.27264064 1.27320857 1.27372418 1.27419433 1.27462474 1.27502021
 1.27538481]"
777,"[0.88580659 1.1354402  1.31966302 1.38814934 1.4194249  1.43659618
 1.44723461 1.45439234 1.45950232 1.46331616 1.46626241 1.46860174
 1.47050112 1.4720721  1.47339185 1.47451536 1.47548283 1.47632426
 1.4770625  1.47771525 1.47829639 1.47881699 1.47928595 1.47971053
 1.4800967 ]"
778,"[0.66498373 1.24975846 1.40838628 1.45755566 1.47873407 1.48997607
 1.49677388 1.5012608  1.5044138  1.5067357  1.50850874 1.50990233
 1.51102372 1.51194382 1.51271124 1.51336031 1.51391593 1.51439656
 1.51481617 1.51518549 1.51551291 1.51580507 1.5160673  1.51630392
 1.51651844]"
779,"[0.67185201 1.2186276  1.35566356 1.41234775 1.44228794 1.46052755
 1.4727189  1.48141017 1.48790537 1.49293667 1.49694531 1.50021233
 1.50292495 1.50521253 1.50716727 1.50885657 1.51033086 1.5116286
 1.5127796  1.51380736 1.5147306  1.51556447 1.5163213  1.51701129
 1.51764289]"
780,"[0.73126398 0.93839295 1.02238262 1.05298227 1.06878152 1.07843175
 1.08493146 1.0896025  1.09311896 1.09586045 1.09805695 1.09985582
 1.10135579 1.10262547 1.10371398 1.10465746 1.10548301 1.10621142
 1.10685884 1.10743806 1.10795929 1.10843083 1.10885944 1.10925073
 1.10960936]"
781,"[0.26745572 0.8331483  1.04679797 1.13931289 1.1894238  1.22042205
 1.2413467  1.25636526 1.26764404 1.27641311 1.28341995 1.28914372
 1.29390523 1.29792706 1.30136834 1.30434578 1.30694689 1.30923854
 1.31127268 1.31309027 1.31472407 1.31620053 1.3175413  1.31876422
 1.31988414]"
782,"[1.02895946 1.50705476 1.51423187 1.49791813 1.48786195 1.48208877
 1.47859163 1.47633624 1.47479989 1.47370485 1.47289477 1.47227681
 1.47179315 1.47140636 1.47109128 1.47083053 1.47061176 1.470426
 1.4702666  1.47012852 1.47000791 1.46990178 1.46980775 1.46972392
 1.46964879]"
783,"[0.06835134 0.91650662 1.04391439 1.08296077 1.10241847 1.11391194
 1.1214404  1.12673524 1.13065584 1.13367341 1.13606675 1.13801099
 1.13962148 1.14097728 1.14213432 1.1431333  1.14400452 1.14477101
 1.14545058 1.14605722 1.14660207 1.14709411 1.14754067 1.14794777
 1.14832042]"
784,"[0.26323626 0.98554189 1.31608239 1.44796519 1.51376858 1.5519944
 1.57658984 1.59359363 1.60598524 1.61538518 1.62274333 1.62865032
 1.63349133 1.6375276  1.64094218 1.64386699 1.64639937 1.64861265
 1.65056308 1.65229452 1.65384163 1.65523216 1.6564886  1.65762933
 1.65866956]"
785,"[0.8359741  1.38277129 1.47822095 1.50571414 1.51732349 1.52326224
 1.5266861  1.52883085 1.53025898 1.53125555 1.53197723 1.53251579
 1.53292779 1.53324962 1.53350553 1.53371216 1.53388125 1.53402124
 1.53413836 1.53423725 1.53432144 1.53439366 1.53445603 1.53451023
 1.5345576 ]"
786,"[0.46774343 1.20289231 1.33141515 1.36577992 1.37959525 1.38660958
 1.39071911 1.39336807 1.3951954  1.39652123 1.39752137 1.39829949
 1.39892022 1.39942575 1.39984466 1.40019696 1.40049703 1.40075543
 1.40098013 1.40117717 1.4013513  1.4015062  1.40164486 1.40176965
 1.40188254]"
787,"[1.04804987 1.29386073 1.29145733 1.27895587 1.27574992 1.27674863
 1.27903084 1.28151523 1.28384722 1.28593203 1.2877648  1.28936936
 1.29077605 1.29201398 1.29310869 1.29408178 1.29495125 1.29573202
 1.29643648 1.29707493 1.29765596 1.29818681 1.29867357 1.29912142
 1.29953475]"
788,"[1.04917994 1.24728915 1.33255263 1.38587839 1.41734605 1.43738702
 1.45108638 1.46098005 1.46843439 1.47424031 1.47888387 1.48267892
 1.48583654 1.48850366 1.49078556 1.49275956 1.4944837  1.49600236
 1.49735003 1.49855394 1.49963583 1.5006133  1.50150072 1.50230995
 1.50305085]"
789,"[0.90655982 1.41874832 1.49741797 1.51359422 1.52048713 1.52496748
 1.52833156 1.53099264 1.53315465 1.534944   1.53644712 1.53772589
 1.53882588 1.53978137 1.54061853 1.54135772 1.54201493 1.5426029
 1.54313191 1.54361031 1.54404496 1.54444155 1.54480484 1.54513881
 1.54544686]"
790,"[0.61350388 1.19396286 1.32454887 1.36698561 1.38648303 1.39740768
 1.40431922 1.40905951 1.412502   1.41511051 1.41715283 1.41879388
 1.42014057 1.42126511 1.42221798 1.42303551 1.42374449 1.42436512
 1.42491288 1.42539984 1.42583556 1.42622771 1.42658249 1.42690499
 1.4271994 ]"
791,"[0.7355701  1.2734807  1.39593778 1.43235323 1.44824671 1.45692539
 1.46234243 1.4660305  1.46869794 1.47071461 1.47229169 1.47355825
 1.47459747 1.47546536 1.47620096 1.4768323  1.47738005 1.47785974
 1.47828331 1.47866004 1.47899729 1.47930095 1.47957578 1.47982572
 1.48005399]"
792,"[0.48370068 1.15796441 1.35481095 1.42146724 1.45408357 1.47323717
 1.48576687 1.49457609 1.5010971  1.50611425 1.51009167 1.51332102
 1.51599454 1.51824397 1.52016257 1.52181816 1.52326127 1.52453027
 1.52565482 1.52665824 1.52755907 1.52837226 1.52910999 1.5297823
 1.53039751]"
793,"[0.06232041 0.74629688 0.97884811 1.05709828 1.09114207 1.10934539
 1.12050422 1.128      1.13336807 1.13739671 1.14052957 1.14303459
 1.14508287 1.14678867 1.14823112 1.14946678 1.15053709 1.15147314
 1.15229869 1.15303219 1.15368823 1.15427846 1.15481229 1.15529745
 1.1557403 ]"
794,"[1.00661884 1.52434293 1.52142002 1.4686045  1.42782599 1.399002
 1.37836444 1.36316676 1.35165007 1.342694   1.33556991 1.32979101
 1.32502322 1.32103136 1.317646   1.31474252 1.31222747 1.31002964
 1.30809387 1.30637688 1.30484425 1.30346833 1.30222665 1.30110077
 1.30007546]"
795,"[0.56852887 0.71430421 0.86069219 0.93780418 0.97994855 1.00598819
 1.02356087 1.0361831  1.04567452 1.05306511 1.0589797  1.06381861
 1.06784984 1.07125945 1.07418055 1.07671088 1.07892377 1.08087532
 1.08260917 1.08415977 1.08555467 1.08681617 1.08796251 1.08900876
 1.08996746]"
796,"[0.852843   1.30779672 1.38414156 1.40221236 1.40869949 1.41168952
 1.4132909  1.41423737 1.41483699 1.41523695 1.41551451 1.41571325
 1.41585919 1.4159686  1.41605204 1.41611659 1.41616713 1.4162071
 1.41623897 1.41626456 1.41628522 1.41630197 1.4163156  1.4163267
 1.41633576]"
797,"[0.71796418 1.16419486 1.30979064 1.37544826 1.41118338 1.43317513
 1.44791582 1.45842361 1.46626638 1.47233109 1.47715415 1.48107773
 1.4843298  1.48706782 1.48940388 1.49141989 1.49317701 1.49472185
 1.4960905  1.49731133 1.49840698 1.49939568 1.50029231 1.50110911
 1.50185626]"
798,"[1.07631518 1.4578915  1.4749858  1.44640406 1.42028651 1.4008176
 1.3865972  1.37605543 1.36806254 1.36186164 1.35694799 1.35298001
 1.34972176 1.34700673 1.34471492 1.34275814 1.34107041 1.33960157
 1.33831288 1.33717401 1.33616095 1.33525445 1.33443892 1.33370162
 1.33303203]"
799,"[0.96749783 0.81785938 0.87377308 0.93278353 0.96744758 0.98926077
 1.00407908 1.01475222 1.02278735 1.02904671 1.03405635 1.03815443
 1.04156779 1.04445408 1.04692618 1.04906698 1.05093872 1.05258898
 1.05405478 1.05536536 1.05654407 1.05760984 1.05857812 1.05946169
 1.06027119]"
800,"[0.42823311 1.02310447 1.21006249 1.27082412 1.2963555  1.30916536
 1.31642087 1.32090135 1.32385174 1.32589302 1.32736167 1.32845238
 1.3292839  1.3299319  1.33044644 1.33086162 1.33120136 1.3314828
 1.3317185  1.33191782 1.33208783 1.33223398 1.33236053 1.33247079
 1.33256745]"
801,"[0.68270935 1.0664713  1.22770436 1.30893672 1.35666934 1.38748299
 1.40879714 1.42433017 1.43611471 1.44534297 1.45275567 1.45883526
 1.46390855 1.46820439 1.47188756 1.47507961 1.47787211 1.48033527
 1.48252387 1.48448119 1.48624193 1.48783418 1.48928094 1.49060123
 1.49181089]"
802,"[0.34761183 1.10835077 1.32562078 1.3996662  1.43358608 1.45220835
 1.4636992  1.4713851  1.47683645 1.48087844 1.48398116 1.48642997
 1.48840708 1.4900338  1.49139372 1.49254621 1.49353446 1.49439061
 1.49513904 1.49579854 1.49638383 1.49690659 1.49737619 1.49780024
 1.49818497]"
803,"[0.71331866 1.22091083 1.39874471 1.45934675 1.48617582 1.50023456
 1.50849136 1.51375037 1.51730812 1.51982935 1.52168305 1.52308727
 1.52417762 1.52504203 1.52573956 1.52631108 1.52678563 1.52718429
 1.52752268 1.52781256 1.52806297 1.52828088 1.5284718  1.52864012
 1.52878934]"
804,"[0.41080837 0.82174622 1.02341428 1.11092499 1.1579824  1.18685014
 1.20619035 1.21998233 1.23028335 1.23825497 1.24459921 1.24976386
 1.25404734 1.25765585 1.26073628 1.26339597 1.26571517 1.26775502
 1.26956291 1.27117612 1.27262437 1.27393164 1.27511751 1.27619808
 1.27718675]"
805,"[0.41656468 0.97536578 1.18890061 1.25520401 1.28217359 1.29532731
 1.30258348 1.30695239 1.30975918 1.31165439 1.31298529 1.31394999
 1.31466768 1.31521333 1.31563586 1.31596823 1.31623323 1.31644701
 1.31662126 1.31676456 1.31688336 1.31698253 1.31706585 1.31713623
 1.31719597]"
806,"[1.23075337 1.69412606 1.73217959 1.71985587 1.70523439 1.69336985
 1.68415756 1.67696071 1.6712431  1.66661741 1.66281101 1.65963084
 1.65693803 1.65463086 1.6526335  1.65088841 1.64935128 1.64798746
 1.6467695  1.64567541 1.64468736 1.64379076 1.64297357 1.64222576
 1.64153889]"
807,"[1.02738846 1.42132599 1.43182435 1.41152183 1.39654688 1.38682696
 1.38037605 1.37590763 1.37268166 1.3702676  1.36840568 1.3669327
 1.36574223 1.36476247 1.36394349 1.36324968 1.36265501 1.36214008
 1.36169016 1.36129389 1.36094237 1.36062853 1.36034672 1.36009233
 1.35986159]"
808,"[0.80888408 1.28049121 1.36940832 1.41340581 1.43972227 1.45685334
 1.46876542 1.4774812  1.48411525 1.48932457 1.4935189  1.49696596
 1.49984762 1.50229153 1.50438983 1.5062106  1.50780525 1.50921326
 1.51046546 1.51158627 1.51259527 1.51350836 1.51433855 1.51509661
 1.51579154]"
809,"[0.92241138 1.10915688 1.05638154 1.01826699 1.00064649 0.99229367
 0.98803072 0.98570778 0.9843785  0.98359257 0.98311995 0.98283573
 0.98266864 0.98257624 0.98253238 0.98252046 0.98252969 0.98255292
 0.98258534 0.98262365 0.98266558 0.98270955 0.98275446 0.98279955
 0.98284427]"
810,"[0.19598236 0.86177477 1.05785477 1.1458967  1.19477863 1.22552661
 1.2465325  1.26174578 1.27325128 1.28224715 1.28946849 1.2953903
 1.3003327  1.30451907 1.30810989 1.31122337 1.31394848 1.31635342
 1.31849133 1.32040426 1.32212586 1.32368342 1.32509928 1.3263919
 1.32757668]"
811,"[0.44711998 0.60735348 0.7509755  0.82290799 0.86235211 0.88690024
 0.90356473 0.91558852 0.92466091 0.93174402 0.9374245  0.9420798
 0.94596351 0.94925219 0.95207249 0.95451757 0.95665748 0.95854589
 0.96022458 0.96172661 0.96307841 0.96430143 0.9654132  0.96642823
 0.96735861]"
812,"[0.76119259 0.97300375 1.10672838 1.17122674 1.20334774 1.22171886
 1.23340696 1.24143127 1.2472551  1.2516628  1.25510911 1.25787454
 1.26014098 1.26203124 1.26363115 1.26500241 1.26619048 1.26722959
 1.26814595 1.26896001 1.26968793 1.27034264 1.27093461 1.27147242
 1.27196316]"
813,"[0.9567901  1.61599176 1.69866072 1.69901722 1.6900218  1.68168059
 1.67508982 1.66999251 1.66601447 1.66285787 1.66030852 1.65821515
 1.65647025 1.6549963  1.65373646 1.65264834 1.65169978 1.65086603
 1.65012778 1.64946973 1.64887967 1.64834769 1.64786571 1.64742707
 1.64702622]"
814,"[0.93380135 1.51159293 1.563634   1.53726811 1.50594388 1.47980794
 1.45907002 1.44260089 1.42935037 1.41852374 1.40954431 1.40199438
 1.39556823 1.39003877 1.38523469 1.38102475 1.37730702 1.37400125
 1.37104348 1.36838219 1.36597542 1.3637887  1.36179346 1.35996583
 1.35828569]"
815,"[0.73390342 1.21721669 1.33625351 1.38072567 1.40315272 1.41650531
 1.42531965 1.43155883 1.4362021  1.43979008 1.4426448  1.44496969
 1.44689946 1.44852681 1.44991759 1.45111983 1.45216941 1.45309366
 1.45391374 1.45464633 1.4553047  1.45589959 1.45643975 1.45693241
 1.45738357]"
816,"[0.22080757 0.26287402 0.27670647 0.3443331  0.40404863 0.44440655
 0.47181787 0.49121675 0.50550996 0.51640862 0.52495855 0.53182606
 0.53745217 0.54213883 0.54609896 0.54948652 0.55241544 0.55497164
 0.55722109 0.5592152  0.56099464 0.56259192 0.56403339 0.56534056
 0.56653122]"
817,"[0.69193417 1.13228522 1.12374887 1.11886261 1.12177335 1.12545004
 1.12856259 1.13103872 1.13300345 1.13458149 1.13586863 1.1369346
 1.1378298  1.13859107 1.13924567 1.13981413 1.14031212 1.1407518
 1.14114272 1.14149247 1.14180717 1.14209179 1.14235041 1.14258642
 1.14280263]"
818,"[0.62361584 1.20529254 1.31606911 1.34321972 1.35363427 1.35906678
 1.36243365 1.36474151 1.36642882 1.3677189  1.36873837 1.36956477
 1.37024843 1.37082348 1.37131395 1.37173725 1.37210629 1.37243089
 1.37271861 1.3729754  1.373206   1.37341421 1.37360315 1.37377536
 1.37393298]"
819,"[1.10428934 1.31500653 1.32118943 1.33521624 1.3473749  1.35623011
 1.36266565 1.36747025 1.37116396 1.37407927 1.37643264 1.37836904
 1.37998848 1.38136183 1.38254057 1.38356292 1.38445778 1.38524741
 1.38594921 1.38657698 1.38714176 1.38765255 1.38811668 1.38854025
 1.38892833]"
820,"[0.47944306 1.11529672 1.27934332 1.3305423  1.35344107 1.36611204
 1.3740877  1.37954941 1.3835164  1.38652518 1.38888398 1.39078207
 1.39234197 1.39364641 1.39475321 1.39570404 1.39652961 1.3972531
 1.39789232 1.39846114 1.39897058 1.39942945 1.39984493 1.40022288
 1.40056816]"
821,"[0.88085816 1.49082043 1.57119029 1.5740639  1.56808542 1.56211875
 1.55723989 1.55336242 1.55026341 1.54775185 1.5456851  1.54395958
 1.5424999  1.54125057 1.54017009 1.53922699 1.538397   1.53766118
 1.53700454 1.53641507 1.53588305 1.53540053 1.53496097 1.5345589
 1.53418975]"
822,"[1.11180604 1.47322029 1.56053732 1.58052731 1.58410675 1.58366756
 1.58221879 1.58060369 1.57907252 1.57769191 1.57646815 1.57538833
 1.57443467 1.57358969 1.57283777 1.57216555 1.57156174 1.57101693
 1.57052319 1.5700739  1.56966348 1.56928722 1.56894111 1.56862173
 1.56832615]"
823,"[0.67224714 1.31199665 1.44495176 1.48346893 1.49857379 1.50581701
 1.50978552 1.51217061 1.51370392 1.51474121 1.51547145 1.5160022
 1.51639817 1.51670005 1.51693445 1.51711932 1.51726709 1.51738659
 1.51748421 1.51756469 1.51763154 1.51768748 1.51773456 1.51777442
 1.51780832]"
824,"[0.59894594 1.25152042 1.3541595  1.37905314 1.38877902 1.39377777
 1.39678713 1.39878858 1.40021291 1.40127715 1.40210205 1.40275994
 1.40329676 1.40374304 1.40411988 1.40444228 1.40472124 1.40496496
 1.40517973 1.40537041 1.40554083 1.40569405 1.40583256 1.40595838
 1.40607316]"
825,"[0.93822929 1.34142855 1.45207507 1.49148546 1.50976761 1.51982412
 1.52601357 1.53013459 1.53304164 1.53518479 1.53682055 1.53810438
 1.5391354  1.5399794  1.54068159 1.54127398 1.54177978 1.5422162
 1.54259626 1.54292996 1.54322512 1.54348789 1.54372323 1.54393513
 1.54412687]"
826,"[0.74694092 1.20266067 1.31238674 1.35170224 1.37055827 1.38132732
 1.38820115 1.39293501 1.39637882 1.39898963 1.40103341 1.40267478
 1.40402078 1.40514384 1.40609466 1.40690975 1.40761605 1.40823383
 1.40877866 1.40926268 1.40969547 1.41008473 1.41043668 1.41075642
 1.41104815]"
827,"[1.14679672e-07 1.99787566e-02 2.20949493e-01 3.67744159e-01
 4.48798047e-01 4.97987904e-01 5.30416114e-01 5.53168753e-01
 5.69908067e-01 5.82686943e-01 5.92733976e-01 6.00824550e-01
 6.07469887e-01 6.13019563e-01 6.17720114e-01 6.21750058e-01
 6.25241640e-01 6.28294800e-01 6.30986393e-01 6.33376448e-01
 6.35512502e-01 6.37432669e-01 6.39167852e-01 6.40743361e-01
 6.42180117e-01]"
828,"[0.71865755 1.41563268 1.55262678 1.59189552 1.60809847 1.61639429
 1.62125699 1.62438183 1.62652754 1.62807632 1.6292385  1.63013803
 1.6308521  1.63143095 1.63190854 1.63230856 1.63264798 1.63293925
 1.63319168 1.63341237 1.63360683 1.63377935 1.63393339 1.6340717
 1.63419653]"
829,"[0.20598599 0.92957806 1.18681288 1.29513913 1.35112638 1.38447196
 1.40632554 1.42164759 1.43293802 1.44157973 1.4483946  1.45389958
 1.45843511 1.46223401 1.46546064 1.46823417 1.47064306 1.47275427
 1.47461941 1.47627888 1.47776472 1.47910269 1.48031371 1.48141495
 1.48242062]"
830,"[0.59978246 0.9452282  1.12909682 1.1805627  1.20034146 1.2099921
 1.21548398 1.21895074 1.22130625 1.22299631 1.22426062 1.22523806
 1.22601402 1.2266436  1.22716379 1.22760026 1.22797135 1.22829047
 1.22856764 1.2288105  1.22902495 1.22921564 1.22938626 1.22953977
 1.2296786 ]"
831,"[0.76745961 1.68246519 1.81543275 1.82037034 1.80636886 1.79124613
 1.77805963 1.76703881 1.75787113 1.75019666 1.74371051 1.73817288
 1.73339878 1.72924564 1.72560281 1.72238366 1.71951961 1.71695585
 1.7146481  1.71256026 1.71066262 1.70893056 1.70734346 1.70588399
 1.70453744]"
832,"[0.7402399  1.42323183 1.52845382 1.5567659  1.56843107 1.57467964
 1.57860789 1.58133633 1.58335871 1.58492638 1.58618168 1.58721188
 1.58807386 1.58880644 1.58943717 1.58998617 1.59046852 1.59089577
 1.59127692 1.59161909 1.591928   1.5922083  1.59246381 1.59269768
 1.59291255]"
833,"[0.46161796 1.03213314 1.17433416 1.19567607 1.19574747 1.1921258
 1.18834247 1.18508148 1.18239077 1.18018481 1.17836608 1.17685212
 1.17557839 1.17449548 1.1735657  1.17276012 1.17205633 1.17143682
 1.17088775 1.17039806 1.16995885 1.16956286 1.16920414 1.16887775
 1.1685796 ]"
834,"[0.93984236 1.234111   1.35570675 1.3930302  1.40968435 1.41898899
 1.42492384 1.42904245 1.43207062 1.43439233 1.43622986 1.43772084
 1.43895516 1.43999402 1.44088054 1.44164601 1.4423137  1.44290123
 1.44342226 1.44388748 1.44430541 1.44468293 1.44502563 1.44533812
 1.44562423]"
835,"[0.44108407 1.13004937 1.25712475 1.30283789 1.32573127 1.33935471
 1.3483554  1.35473225 1.35948125 1.36315261 1.36607444 1.36845428
 1.37042971 1.37209547 1.37351892 1.37474924 1.37582316 1.37676868
 1.37760748 1.37835665 1.3790298  1.37963792 1.38019001 1.38069345
 1.38115439]"
836,"[2.97292451e-04 1.98370685e-01 3.47204770e-01 4.01349982e-01
 4.26137983e-01 4.39931585e-01 4.48658855e-01 4.54670420e-01
 4.59063335e-01 4.62414762e-01 4.65056622e-01 4.67193226e-01
 4.68957218e-01 4.70438480e-01 4.71700093e-01 4.72787641e-01
 4.73734893e-01 4.74567400e-01 4.75304855e-01 4.75962683e-01
 4.76553137e-01 4.77086078e-01 4.77569528e-01 4.78010084e-01
 4.78413217e-01]"
837,"[0.76604419 1.23983038 1.33538588 1.37118339 1.38955481 1.40069831
 1.40817488 1.41353884 1.41757506 1.42072242 1.42324552 1.42531337
 1.42703902 1.42850094 1.4297553  1.43084338 1.43179618 1.43263746
 1.43338571 1.43405556 1.43465872 1.43520467 1.43570118 1.43615468
 1.43657052]"
838,"[0.86154242 1.54509433 1.67480993 1.69969567 1.70322962 1.70170467
 1.69902624 1.69626892 1.69373282 1.69148199 1.68950637 1.68777481
 1.68625318 1.68491015 1.68371878 1.68265644 1.68170432 1.68084684
 1.68007105 1.67936613 1.67872304 1.67813416 1.67759305 1.67709422
 1.67663296]"
839,"[0.18513757 1.03961419 1.2213271  1.27458999 1.29811467 1.31109248
 1.31925505 1.32484451 1.32890525 1.33198623 1.33440257 1.33634777
 1.33794702 1.33928488 1.34042047 1.34139636 1.34224398 1.34298702
 1.3436437  1.34422823 1.34475186 1.34522364 1.3456509  1.34603965
 1.34639487]"
840,"[0.85416162 1.36800666 1.39460122 1.35410988 1.31518939 1.28464933
 1.26107881 1.24261729 1.22786638 1.21585204 1.20589769 1.19752599
 1.19039326 1.18424695 1.17889786 1.17420175 1.17004689 1.16634543
 1.16302747 1.16003666 1.15732712 1.15486114 1.15260743 1.1505398
 1.1486362 ]"
841,"[0.88117327 0.92411115 1.13967255 1.21203484 1.24238031 1.25812382
 1.2675341  1.27372592 1.27808628 1.28131409 1.28379603 1.28576207
 1.28735701 1.28867641 1.28978572 1.29073129 1.29154678 1.29225726
 1.29288175 1.29343495 1.29392839 1.29437125 1.29477092 1.29513343
 1.29546372]"
842,"[0.76811616 0.83234314 0.97644409 1.03966501 1.07186209 1.09102121
 1.10363498 1.11253471 1.11913611 1.12422099 1.12825466 1.13153066
 1.13424306 1.1365251  1.13847127 1.14015036 1.14161364 1.14290007
 1.1440398  1.1450565  1.14596904 1.14679259 1.14753956 1.14822012
 1.14884275]"
843,"[0.62039591 1.20555297 1.34159469 1.37797485 1.3928087  1.40054668
 1.40521635 1.40831322 1.41050626 1.41213567 1.41339144 1.41438751
 1.41519609 1.4158651  1.41642751 1.41690673 1.41731981 1.41767949
 1.41799542 1.41827509 1.41852437 1.41874793 1.41894955 1.41913228
 1.41929866]"
844,"[0.55842263 1.28000285 1.41106016 1.43764755 1.44198463 1.44071244
 1.43803961 1.43518662 1.4325185  1.43012778 1.42801659 1.42615866
 1.42452132 1.42307322 1.42178674 1.42063834 1.41960827 1.41868003
 1.41783985 1.41707618 1.41637933 1.41574112 1.41515462 1.4146139
 1.41411391]"
845,"[0.16150425 0.8734514  1.13230399 1.24968373 1.31300751 1.35181228
 1.37778211 1.39628918 1.41010655 1.42079736 1.42930512 1.4362311
 1.44197572 1.44681553 1.45094746 1.45451542 1.45762696 1.46036402
 1.46279009 1.46495513 1.46689899 1.46865381 1.4702458  1.47169657
 1.47302406]"
846,"[1.05576431 1.26199509 1.2678943  1.27550192 1.28173366 1.28592747
 1.28877631 1.29078874 1.29226691 1.29338991 1.29426758 1.29496994
 1.29554332 1.29601937 1.29642038 1.29676242 1.29705736 1.29731412
 1.29753954 1.29773894 1.29791651 1.2980756  1.29821891 1.29834866
 1.29846665]"
847,"[0.845754   1.29066814 1.40825003 1.45541396 1.48056583 1.49595263
 1.50622564 1.51352343 1.51895323 1.52314009 1.52646123 1.52915676
 1.53138633 1.53325997 1.53485585 1.53623099 1.53742787 1.53847882
 1.53940882 1.54023751 1.54098048 1.54165033 1.54225729 1.54280978
 1.54331479]"
848,"[1.22457554 1.60771155 1.57998771 1.52846235 1.49061697 1.46398519
 1.44473166 1.43033226 1.41922715 1.41043534 1.40331967 1.39745229
 1.39253697 1.38836293 1.38477651 1.38166327 1.37893639 1.37652886
 1.37438817 1.37247266 1.37074883 1.36918949 1.36777231 1.36647882
 1.36529358]"
849,"[0.68386402 1.353058   1.45432368 1.45763818 1.44641994 1.43529083
 1.42629037 1.41924989 1.41371986 1.40931449 1.40574781 1.40281451
 1.40036717 1.39829875 1.39653036 1.39500292 1.39367153 1.39250153
 1.39146582 1.39054294 1.38971569 1.38897017 1.38829499 1.38768077
 1.38711971]"
850,"[1.38846928 1.54543655 1.65377158 1.67192194 1.67229329 1.66923754
 1.66581365 1.66270992 1.66003917 1.65776928 1.6558384  1.65418646
 1.65276268 1.651526   1.65044369 1.64948972 1.64864331 1.64788774
 1.64720947 1.64659747 1.64604265 1.64553748 1.64507568 1.64465196
 1.64426185]"
851,"[0.09530415 0.90283102 1.09850307 1.1523062  1.17491656 1.1870292
 1.19450522 1.19955729 1.20319157 1.20592783 1.20806056 1.20976867
 1.21116698 1.21233245 1.21331857 1.21416366 1.21489588 1.21553637
 1.21610131 1.21660329 1.21705227 1.2174562  1.21782153 1.21815353
 1.21845656]"
852,"[0.47491895 0.86243513 0.96408901 1.01508255 1.04239542 1.0586831
 1.06932168 1.07675747 1.08222446 1.08640269 1.08969459 1.09235234
 1.09454146 1.0963749  1.09793223 1.09927106 1.10043409 1.10145365
 1.10235462 1.10315645 1.1038746  1.10452147 1.10510713 1.10563985
 1.10612647]"
853,"[0.8099647  0.99663665 1.13435753 1.17144856 1.18468014 1.19056987
 1.19361306 1.19535665 1.19643324 1.19713646 1.19761625 1.19795515
 1.19820133 1.19838433 1.198523   1.1986298  1.19871317 1.19877901
 1.19883153 1.19887377 1.19890799 1.19893587 1.1989587  1.19897747
 1.19899294]"
854,"[0.46562232 0.9005387  1.09880006 1.15665529 1.18035228 1.19278155
 1.20037924 1.20550057 1.20918911 1.21197456 1.21415388 1.21590639
 1.21734683 1.2185521  1.21957565 1.22045585 1.22122093 1.22189217
 1.22248587 1.22301477 1.22348896 1.22391652 1.22430402 1.22465685
 1.22497947]"
855,"[0.15205669 0.82810866 1.04231444 1.1336473  1.1825241  1.21254972
 1.23274001 1.24720077 1.25804812 1.26647678 1.27320985 1.27870966
 1.28328513 1.28715034 1.29045819 1.29332078 1.29582208 1.29802628
 1.29998323 1.30173222 1.30330469 1.30472602 1.30601697 1.30719467
 1.30827338]"
856,"[0.47416021 1.01225066 1.02688122 1.0020409  0.983691   0.97160746
 0.96339725 0.95755676 0.95322681 0.9499045  0.94728238 0.94516415
 0.94341946 0.94195879 0.94071877 0.93965341 0.93872856 0.93791834
 0.93720285 0.93656649 0.93599689 0.93548414 0.93502015 0.93459833
 0.9342132 ]"
857,"[0.5305815  0.72923528 0.78811148 0.83183366 0.86381495 0.88615252
 0.90215424 0.91404039 0.92316748 0.93037526 0.93620172 0.94100418
 0.94502804 0.94844685 0.95138657 0.95394069 0.95618002 0.9581591
 0.95992062 0.96149846 0.96291984 0.96420685 0.96537764 0.96644723
 0.96742817]"
